event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SAF18824,"29 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Health Workers (South Africa); Labor Group (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",Gauteng,"City of Tshwane","City of Tshwane",Ga-Rankuwa,-25.6169,27.9947,1,"Daily News (South Africa); Daily Sun (South Africa)",National,"On 29 March 2023, coronavirus support staff (professional nurses, general assistants, data capturers and cleaners) staged a protest outside the Dr. George Mukhari Academic Hospital in Ga-Rankuwa (City of Tshwane, Gauteng), demanding permanent employment.",0,"crowd size=no report",1680542328
SAF18826,"29 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Health Workers (South Africa); NUPSAW: National Union of Public Service and Allied Workers; Labor Group (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",Gauteng,"City of Johannesburg","City of Johannesburg",Johannesburg,-26.2023,28.0436,1,"Daily News (South Africa)",National,"On 29 March 2023, for the third day, scores of former municipality health workers camped outside the health department's office during a demonstration in Johannesburg (City of Johannesburg, Gauteng), demanding permanent employment. NUPSAW organized the protest.",0,"crowd size=scores",1680542328
SAF18859,"29 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,,710,"Southern Africa","South Africa","Western Cape","City of Cape Town","City of Cape Town","Somerset West",-34.084,18.8211,1,EWN,National,"On 29 March 2023, Macassar residents gathered outside the Somerset West Magistrate's Court (City of Cape Town, Western Cape), calling on courts to deny bail to a man accused of killing a 10-year-old girl.",0,"crowd size=no report",1680542328
SAF18860,"29 March 2023",2023,1,Demonstrations,Protests,"Protest with intervention","Protesters (South Africa)","Students (South Africa)",6,"Police Forces of South Africa (1994-)",,1,16,,710,"Southern Africa","South Africa","Eastern Cape","Nelson Mandela Bay","Nelson Mandela Bay",Summerstrand,-33.9918,25.6572,1,"Herald (South Africa)",Subnational,"On 29 March 2023, approximately 100 students blocked (means unspecified) entrances to Nelson Mandela University's north and south campuses in Summerstrand (Nelson Mandela Bay, Eastern Cape), demanding accommodation, living allowance funding from the National Student Financial Aid Scheme, and tuition grant money. The police used stun grenades and tear gas to disperse the crowd and detained one protester.",0,"crowd size=approximately 100",1680542328
SAF18822,"28 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Health Workers (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",Gauteng,"City of Johannesburg","City of Johannesburg",Johannesburg,-26.2023,28.0436,1,GroundUp,National,"On 28 March 2023, for the second day, about 50 former municipality health workers staged a protest outside the health department's office in Johannesburg (City of Johannesburg, Gauteng), demanding permanent employment.",0,"crowd size=about 50",1680542328
SAF18831,"28 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Labor Group (South Africa); Private Security Forces (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",Gauteng,"City of Tshwane","City of Tshwane",Pretoria,-25.7449,28.1878,1,"Daily Sun (South Africa)",National,"On 28 March 2023, City of Tshwane contract workers, security guards, and meter readers picketed outside Tshwane House in Pretoria (City of Tshwane, Gauteng), demanding the settlement of unpaid wages and permanent employment.",0,"crowd size=no report",1680542328
SAF18836,"28 March 2023",2023,2,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","SACP: South African Communist Party; COSATU: Congress of South African Trade Unions",6,,,0,60,,710,"Southern Africa","South Africa",Mpumalanga,Ehlanzeni,"City of Mbombela",Mbombela,-25.4667,30.9667,3,"Daily Sun (South Africa)",National,"Around 28 March 2023 (as reported), SACP and COSATU members marched to toll gates in Mpumalanga [location coded in Mbombela (City of Mbombela, Ehlanzeni, Mpumalanga)] against high toll fees.",0,"crowd size=no report",1680542328
SAF18849,"28 March 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (South Africa)","Vigilante Group (South Africa)",5,"Civilians (South Africa)",,7,57,"Civilian targeting",710,"Southern Africa","South Africa",Limpopo,Sekhukhune,"Greater Tubatse",Motlolo,-24.5151,30.1807,1,"Daily News (South Africa); Daily Sun (South Africa); News24 (South Africa); Sowetan (South Africa); Times (South Africa)",National,"On 28 March 2023, a mob stoned and killed a man after the decomposed body of a 13-year-old girl was found in his house in Motlolo (Greater Tubatse, Sekhukhune, Limpopo).",1,"crowd size=no report",1680542328
SAF18857,"28 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,,710,"Southern Africa","South Africa","Eastern Cape",Amathole,Mnquma,Butterworth,-32.3333,28.15,1,"Daily Dispatch; GardaWorld",Other-Subnational,"On 28 March 2023, for the second day, residents staged a protest in Butterworth (Mnquma, Amathole, Eastern Cape) against the arrest of local community leaders and increased levels of insecurity in the area.",0,"crowd size=no report",1680542328
SAF18815,"27 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","ANC: African National Congress; Unidentified Communal Group (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",Mpumalanga,Ehlanzeni,Bushbuckridge,Justicia,-24.8764,31.4131,2,"Daily Sun (South Africa)",National,"On 27 March 2023, residents, ANC members, and traditional leaders picketed outside the Mkhulu Magistrate's Court near Justicia (Bushbuckridge, Ehlanzeni, Mpumalanga), opposing the release of a murder suspect on bail.",0,"crowd size=no report",1680542328
SAF18825,"27 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Health Workers (South Africa); HAITU: Health and Allied workers Indaba Trade Union; ILAWU: Independent Liberation & Allied Workers Union; Labor Group (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",Gauteng,"City of Johannesburg","City of Johannesburg",Johannesburg,-26.2023,28.0436,1,"Daily News (South Africa); EWN",National,"On 27 March 2023, health workers marched to the provincial Department of Health's office in Johannesburg (City of Johannesburg, Gauteng), demanding permanent employment. HAITU and ILAWU joined the protest.",0,"crowd size=no report",1680542328
SAF18835,"27 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Private Security Forces (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",Gauteng,"City of Tshwane","City of Tshwane",Bronkhorstspruit,-25.8083,28.7406,1,"Daily Sun (South Africa)",National,"On 27 March 2023, security guards shut down the municipal offices during a demonstration in Bronkhorstspruit (City of Tshwane, Gauteng), demanding payment of outstanding wages.",0,"crowd size=no report",1680542328
SAF18845,"27 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Students (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",KwaZulu-Natal,eThekwini,eThekwini,Durban,-29.8579,31.0292,1,"Daily News (South Africa)",National,"On 27 March 2023, more than 100 UNSA students shut down the university campus in Durban (eThekwini, KwaZulu-Natal), demanding that the National Student Financial Aid Scheme (NSFAS) disburse their registration fees.",0,"crowd size=more than 100",1680542328
SAF18846,"27 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","UAT: United Africans Transformation; Labor Group (South Africa); Private Security Forces (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa",Gauteng,"City of Tshwane","City of Tshwane",Pretoria,-25.7449,28.1878,1,"Daily News (South Africa)",National,"On 27 March 2023, protesters picketed outside the Tshwane House in Pretoria (City of Tshwane, Gauteng), urging the Gauteng government to take action and oversee the City of Tshwane due to inadequate service delivery. UAT members, security guards, and meter readers joined the protest.",0,"crowd size=no report",1680542328
SAF18854,"27 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,,710,"Southern Africa","South Africa",Gauteng,"City of Tshwane","City of Tshwane",Mamelodi,-25.713,28.3653,1,"Daily News (South Africa)",National,"On 27 March 2023, Skierlik informal settlement residents blocked (means unspecified) roads in Mamelodi (City of Tshwane, Gauteng) against the lack of service delivery.",0,"crowd size=no report",1680542328
SAF18855,"27 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,,710,"Southern Africa","South Africa","Eastern Cape","Buffalo City","Buffalo City","East London",-33.0153,27.9116,1,"Daily Dispatch",Subnational,"On 27 March 2023, protesters gathered outside the East London Magistrate's Court (Buffalo City, Eastern Cape), calling on courts to deny bail to rape suspects.",0,"crowd size=no report",1680542328
SAF18856,"27 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,,710,"Southern Africa","South Africa",KwaZulu-Natal,Amajuba,Emadlangeni,Utrecht,-27.6586,30.3217,1,"Northern Natal News",Subnational,"On 27 March 2023, a small group of protesters blocked (means unspecified) entrance to the offices of the eMadlangeni municipality in Utrecht (Emadlangeni, Amajuba, KwaZulu-Natal), demanding the removal of the Mayor's office manager. The manager was accused of meddling in procurement issues.",0,"crowd size=small",1680542328
SAF18861,"27 March 2023",2023,1,Demonstrations,Protests,"Protest with intervention","Protesters (South Africa)",,6,"Police Forces of South Africa (1994-)",,1,16,,710,"Southern Africa","South Africa","Eastern Cape",Amathole,Mnquma,Butterworth,-32.3333,28.15,1,"GardaWorld; GroundUp",Other-National,"On 27 March 2023, residents staged a protest in Butterworth (Mnquma, Amathole, Eastern Cape) against the arrest of local community leaders and increased levels of insecurity in the area. Police fired rubber bullets to disperse the crowd.",0,"crowd size=no report",1680542328
SAF18820,"26 March 2023",2023,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (South Africa)",,3,"Civilians (South Africa)","Mnisi Communal Group (South Africa)",7,37,"Civilian targeting",710,"Southern Africa","South Africa",Mpumalanga,Ehlanzeni,"City of Mbombela","White River",-25.3167,31.0167,2,"Citizen (South Africa); Daily Sun (South Africa); Sowetan (South Africa); Times (South Africa)",National,"On 26 March 2023, five unknown suspects shot and killed a traditional chief from the Mnisi Tribal Authority near White River (City of Mbombela, Ehlanzeni, Mpumalanga). The chief's driver was also hit and hospitalized. The chief was allegedly a key figure in a large-scale rhino poaching syndicate.",1,,1680542328
SAF18850,"26 March 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (South Africa)","Vigilante Group (South Africa); Taxi Drivers (South Africa)",5,"Civilians (South Africa)",,7,57,"Civilian targeting",710,"Southern Africa","South Africa",Limpopo,Sekhukhune,"Greater Tubatse",Burgersfort,-24.6667,30.3167,1,"Laevelder Lowvelder",National,"On 26 March 2023, shoppers and taxi drivers assaulted two theft suspects in Burgersfort (Greater Tubatse, Sekhukhune, Limpopo). The suspects were hospitalized.",0,"crowd size=no report",1680542328
SAF18853,"26 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,,710,"Southern Africa","South Africa",Gauteng,"City of Johannesburg","City of Johannesburg","Johannesburg - Braamfontein",-26.1982,28.0219,1,EWN,National,"On 26 March 2023, Robertsham residents held a silent protest in Johannesburg - Braamfontein (City of Johannesburg, Gauteng) against water outages during a media briefing by Johannesburg Mayor.",0,"crowd size=no report",1680542328
SAF18813,"24 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","SACCAWU: South African Commercial, Catering and Allied Workers Union; Labor Group (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa","Western Cape","City of Cape Town","City of Cape Town","Cape Town",-33.9253,18.4239,1,"EWN; GroundUp",National,"On 24 March 2023, about 100 SACCAWU members marched to Parliament in Cape Town (City of Cape Town, Western Cape), calling on the Department of Trade, Industry, and Competition to intervene in the union's dispute with Makro. Protesters demanded a 12% wage increase.",0,"crowd size=about 100",1679931186
SAF18814,"24 March 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (South Africa)",,5,,,0,50,,710,"Southern Africa","South Africa",KwaZulu-Natal,eThekwini,eThekwini,uMgababa,-30.1455,30.8335,1,"South Coast Sun",National,"On 24 March 2023, for the second day, residents barricaded roads with metal sheeting, tree branches, and tires in Umgababa (eThekwini, KwaZulu-Natal) against the lack of service delivery.",0,"crowd size=no report",1679931186
SAF18851,"24 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,,710,"Southern Africa","South Africa",Gauteng,"City of Tshwane","City of Tshwane",Pretoria,-25.7449,28.1878,1,"Daily Sun (South Africa)",National,"On 24 March 2023, parents shut down a primary school and turned the principal away in Pretoria (City of Tshwane, Gauteng) over corruption allegations.",0,"crowd size=no report",1680542328
SAF18852,"24 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)",,6,,,0,60,,710,"Southern Africa","South Africa","Western Cape","City of Cape Town","City of Cape Town","Cape Town",-33.9253,18.4239,1,"Daily News (South Africa)",National,"On 24 March 2023, supporters of the former principal of Heathfield High School gathered outside the Western Cape Education Department offices in Cape Town (City of Cape Town, Western Cape), demanding an autonomous investigation into corruption within the department's legal and labor department. Protesters also demanded the appointment of a public member to serve on the commission.",0,"crowd size=no report",1680542328
SAF18862,"24 March 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (South Africa)","SAMWU: South African Municipal Workers Union; Labor Group (South Africa)",5,"Police Forces of South Africa (1994-)",,1,15,,710,"Southern Africa","South Africa","North West",Bojanala,Rustenburg,Tlhabane,-25.6403,27.2175,1,"Daily Sun (South Africa)",National,"On 24 March 2023, SAMWU members clashed with police during a demonstration in Tlhabane (Rustenburg, Bojanala, North West), demanding the payment of outstanding coronavirus danger allowances.",0,"crowd size=no report",1680542328
SAF18819,"24 March 2023",2023,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (South Africa)",,3,"Civilians (South Africa)","Former Government of South Africa (1994-)",7,37,"Civilian targeting",710,"Southern Africa","South Africa",KwaZulu-Natal,Umzinyathi,Msinga,Mkhupula,-28.8037,30.5769,2,"Sowetan (South Africa); Times (South Africa)",National,"On 24 March 2023, unknown suspects ambushed and shot at the car belonging to the former Msinga mayor in the Mkhupula area (Msinga, Umzinyathi, KwaZulu-Natal). The mayor and his driver managed to escape from the car unharmed, but the assailants set the vehicle on fire.",0,,1680570816
SAF18810,"23 March 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (South Africa)","Labor Group (South Africa)",5,,,0,50,,710,"Southern Africa","South Africa",KwaZulu-Natal,Uthukela,"Alfred Duma",Ladysmith,-28.5587,29.779,1,"Northern Natal News",Subnational,"On 23 March 2023, for the second day, striking municipality workers burnt tires outside the uThukela offices in Ladysmith (Alfred Duma, Uthukela, KwaZulu-Natal), demanding the municipal manager's resignation over corruption allegations. Demonstrators alleged that only the staff affiliated with the IFP were receiving wages.",0,"crowd size=no report",1679931186
SAF18811,"23 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","SAMWU: South African Municipal Workers Union; Labor Group (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa","North West",Bojanala,Rustenburg,Rustenburg,-25.6667,27.25,1,"Daily Sun (South Africa)",National,"On 23 March 2023, SAMWU members picketed outside the Rustenburg Local Municipality offices (Bojanala, North West), demanding the payment of outstanding coronavirus danger allowances.",0,"crowd size=no report",1679931186
SAF18812,"23 March 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (South Africa)",,5,,,0,50,,710,"Southern Africa","South Africa",KwaZulu-Natal,eThekwini,eThekwini,uMgababa,-30.1455,30.8335,1,"South Coast Sun",National,"On 23 March 2023, residents barricaded roads with burning debris in Umgababa (eThekwini, KwaZulu-Natal) against the lack of service delivery.",0,"crowd size=no report",1679931186
SAF18837,"23 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Labor Group (South Africa); SANTACO: South Africa National Taxi Council; Taxi Drivers (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa","Eastern Cape","Alfred Nzo",Umzimvubu,eMaXesibeni,-30.8082,29.3664,1,"Daily News (South Africa)",National,"On 23 March 2023, SANTACO-affiliated taxi operators blocked the N2 with their vehicles in eMaXesibeni (Umzimvubu, Alfred Nzo, Eastern Cape), Mt. Frere, Qumbu, Mthatha, Idutywa, and Butterworth (coded separately) to protest changes to the department's scholar transportation arrangement.",0,"crowd size=no report",1680542328
SAF18838,"23 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Labor Group (South Africa); SANTACO: South Africa National Taxi Council; Taxi Drivers (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa","Eastern Cape","Alfred Nzo",Umzimvubu,"Mt. Frere",-30.8917,28.9833,1,"Daily News (South Africa)",National,"On 23 March 2023, SANTACO-affiliated taxi operators blocked the N2 with their vehicles in Mt. Frere (Umzimvubu, Alfred Nzo, Eastern Cape), eMaXesibeni, Qumbu, Mthatha, Idutywa, and Butterworth (coded separately) to protest changes to the department's scholar transportation arrangement.",0,"crowd size=no report",1680542328
SAF18839,"23 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Labor Group (South Africa); SANTACO: South Africa National Taxi Council; Taxi Drivers (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa","Eastern Cape",O.R.Tambo,Mhlontlo,Qumbu,-31.163,28.8706,1,"Daily News (South Africa)",National,"On 23 March 2023, SANTACO-affiliated taxi operators blocked the N2 with their vehicles in Qumbu (Mhlontlo, O.R.Tambo, Eastern Cape), Mt. Frere, eMaXesibeni, Mthatha, Idutywa, and Butterworth (coded separately) to protest changes to the department's scholar transportation arrangement.",0,"crowd size=no report",1680542328
SAF18840,"23 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Labor Group (South Africa); SANTACO: South Africa National Taxi Council; Taxi Drivers (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa","Eastern Cape",O.R.Tambo,"King Sabata Dalindyebo",Mthatha,-31.5889,28.7844,1,"Daily News (South Africa)",National,"On 23 March 2023, SANTACO-affiliated taxi operators blocked the N2 with their vehicles in Mthatha (King Sabata Dalindyebo, O.R.Tambo, Eastern Cape), Mt. Frere, Qumbu, eMaXesibeni, Idutywa, and Butterworth (coded separately) to protest changes to the department's scholar transportation arrangement.",0,"crowd size=no report",1680542328
SAF18841,"23 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Labor Group (South Africa); SANTACO: South Africa National Taxi Council; Taxi Drivers (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa","Eastern Cape",Amathole,Mbhashe,Idutywa,-32.0962,28.3049,1,"Daily News (South Africa)",National,"On 23 March 2023, SANTACO-affiliated taxi operators blocked the N2 with their vehicles in Idutywa (Mbhashe, Amathole, Eastern Cape), Mt. Frere, Qumbu, Mthatha, eMaXesibeni, and Butterworth (coded separately) to protest changes to the department's scholar transportation arrangement.",0,"crowd size=no report",1680542328
SAF18842,"23 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (South Africa)","Labor Group (South Africa); SANTACO: South Africa National Taxi Council; Taxi Drivers (South Africa)",6,,,0,60,,710,"Southern Africa","South Africa","Eastern Cape",Amathole,Mnquma,Butterworth,-32.3333,28.15,1,"Daily News (South Africa)",National,"On 23 March 2023, SANTACO-affiliated taxi operators blocked the N2 with their vehicles in Butterworth (Mnquma, Amathole, Eastern Cape), Mt. Frere, Qumbu, Mthatha, Idutywa, and eMaXesibeni (coded separately) to protest changes to the department's scholar transportation arrangement.",0,"crowd size=no report",1680542328
SAF18847,"23 March 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (South Africa)","Vigilante Group (South Africa)",5,"Civilians (South Africa)",,7,57,"Civilian targeting",710,"Southern Africa","South Africa",Gauteng,"City of Johannesburg","City of Johannesburg","Johannesburg - Alexandra",-26.1167,28.1,1,"Daily Sun (South Africa)",National,"On 23 March 2023, a mob assaulted three people accused of killing thier friend in Johannesburg - Alexandra (City of Johannesburg, Gauteng), killing one. Police rescued the suspects.",1,"crowd size=no report",1680542328
SAF18848,"23 March 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (South Africa)","Vigilante Group (South Africa)",5,"Civilians (South Africa)",,7,57,"Civilian targeting",710,"Southern Africa","South Africa",Limpopo,Capricorn,Polokwane,Seshego,-23.8466,29.388,1,"Daily Sun (South Africa)",National,"On 23 March 2023, a mob assaulted a suspect of cable and aluminum theft in Seshego (Polokwane, Capricorn, Limpopo). Extent of injuries unknown/not reported.",0,"crowd size=no report",1680542328
